utterance,intent,intent1
claim computer keyboard,iflex.what_can_be_claimed_against_iflex,75
claim admission zoo,iflex.what_can_be_claimed_against_iflex,75
claim chair fh flex,iflex.what_can_be_claimed_against_iflex,75
claim family medical,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim mammogram screening,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim maternity expense,medical.can_i_claim_maternity_-_related_expenses_from_my_insurance_coverage,158
claim medical cost incurred spouse,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim medical expense still probation,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim mi 1000 outpatient claim,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim physiotherapy,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim podiatry treatment,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim rapid test,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim flex buy thing online,iflex.what_can_be_claimed_against_iflex,75
claim flex buy thing online example canada,iflex.what_can_be_claimed_against_iflex,75
claim flex last surgery,iflex.what_can_be_claimed_against_iflex,75
claim flex using receipt previous year,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,67
claim last year flex,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,67
claim maternity expense insurance coverage,medical.can_i_claim_maternity_-_related_expenses_from_my_insurance_coverage,158
claim 2017 medical bill year,medical.deadline_for_medical_claim_submission,161
claim flex,iflex.what_can_be_claimed_against_iflex,75
claim personal expense flex,iflex.what_can_be_claimed_against_iflex,75
claim specialist doctor charge daughter,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim transport,payroll.transport_reimbursement,266
convert medical leave annual leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
register license last working day,offboarding.resignation_of_rnf_reps,200
business vietnam,staff_info_update.outside_appointment,416
internal transfer,internal_mobility.internal_mobility_eligibility_criteria,100
dont serve full month notice,offboarding.can_i_offset_my_notice_period,194
download offer letter accepting,onboarding.letter_of_appointment,209
dress causal day holiday,onboarding.dress_code,205
endash leave leave db,leave.leave_encashment,149
endash leave,leave.leave_encashment,149
endash lieu taken,leave.leave_encashment,149
endash lieu,leave.leave_encashment,149
find staff housing loan,iprivileges.staff_home_loan,118
get back staff photo reference,onboarding.new_hire_staff_pass,213
get cfa sponsored,training.gesp_eligibility,461
get final payment cpt cpd record last employment day,payroll.when_will_i_get_my_pay,283
get training sponsorship last employment day,training.gesp_service_period,462
go home 5pm friday,general_benefits.5_at_5,42
go leave today,leave.can_i_take_leave,140
go clinic medical,medical.how_do_i_go_about_paying_my_medical_bills,166
early release orientation rejoin rest session day,onboarding.duration_of_new_hire_orientation,206
exception approval skip block leave,leave.i_cannot_take_block_leave_this_year,148
detail share,shares.what_is_ishares,407
cpt record,training.training_hours,487
final payslip,payroll.when_will_i_get_my_pay,283
leave balance please,leave.can_i_take_leave,140
staff pas photo,onboarding.new_hire_staff_pass,213
email 1 promo,iprivileges.how_to_participate_in_dbs_staff_promotion,114
history leaf applied,leave.leaves_of_direct_reports,151
link leave portal,people_hub.dbs_people_hub,290
ignore todo list employee resignation,offboarding.manager_to-do_list_for_employee_resignation,197
join share 3 year,shares.how_does_ishares_work,396
join team program midway,ihealth.can_i_join_the_team_program_midway,77
keep license resign,offboarding.resignation_of_rnf_reps,200
know much flex,iflex.can_i_know_what_is_my_iflex_entitlement,62
mail hard copy hr new salary crediting pls provide address,staff_info_update.how_can_i_change_my_salary_crediting_account,411
nominate grp colleague belonging different dept country,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,130
offset notice period leave,offboarding.can_i_offset_my_notice_period,194
purchase fitness equipment,iflex.what_can_be_claimed_against_iflex,75
retake staff card photo,onboarding.new_hire_staff_pass,213
recognise team people stationed different country,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,130
refer friend grow,employee_referral_programme.one_name_each_guide,31
rename login,onboarding.can_i_change_my_1bank_id,204
replace annual leave compassionate leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
request leave,leave.can_i_take_leave,140
request letter apply visa another country,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
roll flex,iflex.can_my_iflex_be_carried_forward_to_next_year,64
rotate team,internal_mobility.internal_mobility_eligibility_criteria,100
save checkpoint video watch later,ihealth.can_i_save_the_checkpoint_videos_to_watch_later,78
see colleague leave,leave.leaves_of_direct_reports,151
see latest payslip,payroll.how_to_generate_my_payslip,240
sell annual leave,leave.leave_encashment,149
sell leaf,leave.leave_encashment,149
send it,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,130
serve shorter notice period,offboarding.can_i_offset_my_notice_period,194
server longer notice period,offboarding.how_to_determine_last_day_of_service,196
still amend manager evaluation deadline,performance_and_development.can_managers_amend_YER_after_deadline,334
still apply leave resigned,leave.can_i_apply_leave_during_notice_period,138
still goal setting cutoff date,performance_and_development.staff_cannot_complete_goal-setting_by_deadline,379
submit medical claim blood test dengue,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
submit going review twice,performance_and_development.is_on-going_review_compulsory,366
submit performance review closing baseline,performance_and_development.cannot_submit_year-end_review_by_deadline,338
stop annual leave mc,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
take al last working day,leave.can_i_apply_leave_during_notice_period,138
take bday leave,leave.can_i_take_leave,140
take birthday time,leave.can_i_take_leave,140
take exam leave acc,leave.can_i_take_leave,140
take family leave,leave.can_i_take_leave,140
take full day examination leave,leave.leave_guidelines,150
take marriage leave,leave.can_i_take_leave,140
take medical leave block leave,leave.what_can_be_considered_as_block_leave,153
talk someone regarding leave calculation,people_hub.leave_escalation_in_people_hub,325
transfer,internal_mobility.internal_mobility_eligibility_criteria,100
use annual leave part notice period,offboarding.can_i_offset_my_notice_period,194
use flex foot reflexology,iflex.what_can_be_claimed_against_iflex,75
use flex point allowed health check covid19 purpose,iflex.what_can_be_claimed_against_iflex,75
use flex claim cfa,iflex.what_can_be_claimed_against_iflex,75
use leave offset notice period,offboarding.can_i_offset_my_notice_period,194
use year leave balance apply january 2021 leave,leave.can_i_carry_forward_my_leave,139
wear sleeveless shirt,onboarding.dress_code,205
wear shirt work,onboarding.dress_code,205
flex claimed overseas food expenditure,iflex.what_can_be_claimed_against_iflex,75
flex used hotel stay,iflex.what_can_be_claimed_against_iflex,75
flex used pay insurance,iflex.iflex_and_insurance_premium,71
flex use lens,iflex.what_can_be_claimed_against_iflex,75
flex use child visoncare,iflex.what_can_be_claimed_against_iflex,75
indirect manager submit recommendation compensation proposal,compensation.how_to_access_the_year-end_comp_review,8
intern apply one hour time eat family,general_benefits.eat_with_your_family,46
it used recognise effort colleague regional country,itq_and_wetq.recognition_in_dbs,132
kelly service staff log it wet system,itq_and_wetq.who_can_access_itq_wetq_portal,133
kelly service staff take part shading opportunity,talent_management.eligibility_for_be_my_guest_program,439
leave carried forward,leave.can_i_carry_forward_my_leave,139
manager amend year end evaluation deadline,performance_and_development.can_managers_amend_YER_after_deadline,334
manager amend yer deadline,performance_and_development.can_managers_amend_YER_after_deadline,334
manager amend yr end evaluation deadline,performance_and_development.can_managers_amend_YER_after_deadline,334
manager rating still updated submission,performance_and_development.can_managers_amend_YER_after_deadline,334
manager amend yer deadline,performance_and_development.can_managers_amend_YER_after_deadline,334
marriage leave use block leave,leave.what_can_be_considered_as_block_leave,153
matching share transferred another security account,shares.transfer_shares_to_personal_securities_account,405
spouse claim medical fee dependent,medical.how_to_submit_medical_claim,171
mgr mgr provide comp recommendation behalf,compensation.comp_recommendations_on_behalf_of_managers,2
bos chun report indicates finished goal setting,performance_and_development.how_can_manager_view_status_of_team_goals_and_development_plan,346
certificate employment addressed specific person,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,426
colleague still join team program already start challenge,ihealth.can_i_join_the_team_program_midway,77
colleague view new hire profile,onboarding.new_hire_profile,212
colleague view feedback provided,performance_and_development.is_my_feedback_anonymous,365
contract staff logo it,itq_and_wetq.who_can_access_itq_wetq_portal,133
dependent enjoy corporate rate health screening,general_benefits.annual_health_screening,43
direct bos approve wet nomination,itq_and_wetq.how_to_approve_wetq_nominations,127
flex brought forward next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
flex carried forward next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
flex used pay insurance premium,iflex.iflex_and_insurance_premium,71
flex rolled next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
flex balance converted cash,iflex.can_my_iflex_be_carried_forward_to_next_year,64
intern join guest program,talent_management.eligibility_for_be_my_guest_program,439
it point converted cash,itq_and_wetq.can_i_swap_awarded_itq_points_for_cash,126
manager see feedback give,performance_and_development.is_my_feedback_anonymous,365
manager view profile,onboarding.new_hire_profile,212
parent dependent,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
peer see feedback,performance_and_development.is_my_feedback_anonymous,365
staff ask harm review pdr,performance_and_development.request_for_hr_intervention_during_pdr,377
staff still take compassionate leave funeral already,leave.when_can_i_start_my_compassionate_leave,155
unused training leave endash,leave.leave_guidelines,150
new hire access it wet portal,itq_and_wetq.new_hire_access_to_itq_wetq,131
non budget holder approve wt submission,itq_and_wetq.how_to_approve_wetq_nominations,127
lieu encased,leave.leave_encashment,149
parent dependent,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
people join team challenge started,ihealth.can_i_join_the_team_program_midway,77
physiotheraphy claimed medical,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
point earned connecting hp health app,ihealth.how_to_earn_rewards_points,84
provide guidance connect sync activity tracker health wellness app,ihealth.how_to_connect_my_device_to_ihealth_app,83
provide info opportunity hip,hipo_management.what_happens_to_high_potentials,56
resigned apply internal application,internal_mobility.internal_mobility_application_while_serving_notice,99
resigned still apply internal rotation,internal_mobility.internal_mobility_application_while_serving_notice,99
salary credited multiplier account,staff_info_update.how_can_i_change_my_salary_crediting_account,411
send back ongoing review,performance_and_development.how_to_send_back_goals_to_my_staff,361
share login url tale,onboarding.login_access_to_taleo,210
share formula staff interest rate,iprivileges.iprivileges_escalation,115
share link dental expense,medical.how_to_submit_dental_claim,170
share working transition allowance amount derived,shares.how_to_calculate_my_sos_transition_allowance,398
show leave balance,leave.can_i_take_leave,140
someone assist calculation preferential interest rate,iprivileges.iprivileges_escalation,115
staff apply leave serving notice,leave.can_i_apply_leave_during_notice_period,138
staff leave earlier today,general_benefits.festive_early_release,47
still change year end review deadline,performance_and_development.cannot_submit_year-end_review_by_deadline,338
still make amendment submitting comp manager ph,compensation.can_i_amend_submitted_comp_review_proposals,0
still make change year end appraisal deadline,performance_and_development.how_to_start_my_pd_year-end_review,362
submit im application asked,internal_mobility.internal_mobility_application_process,98
take exam leave course taken outside,leave.leave_guidelines,150
take medical leave medical appointment,medical.medical_certificate,176
tell comp structure element,compensation.components_of_the_compensation_structure,3
tell total compensation,compensation.components_of_the_compensation_structure,3
1 bank id amended name correct,onboarding.can_i_change_my_1bank_id,204
cptcpd record shown reference letter,training.training_hours,487
dependent parent,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
dependent parent staff,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
entire flex amount utilised beginning year,iflex.can_i_know_what_is_my_iflex_entitlement,62
entitled amount flex fully utilised beginning year,iflex.can_i_know_what_is_my_iflex_entitlement,62
entitled flex amount utilised full beginning year,iflex.can_i_know_what_is_my_iflex_entitlement,62
manager see feedback also name reflected,performance_and_development.is_my_feedback_anonymous,365
performance development review document sent back submitted staff doc erroneously,performance_and_development.how_to_manually_retrieve_the_yer,356
performance rating staff adjusted 20 nov,performance_and_development.can_managers_amend_YER_after_deadline,334
popup 500 august carried forward next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
u advise give feedback team member,performance_and_development.how_to_give_feedback,355
u help add new emergency contact ph,people_hub.how_to_update_emergency_contact_info_in_people_hub,313
u search updated outside appointment policy,staff_info_update.outside_appointment,416
u send back internal job application need make edits,internal_mobility.how_to_amend_or_withdraw_im_submission,94
u share manager todo list offboarding,offboarding.manager_to-do_list_for_employee_resignation,197
u share online registration form 2021 staff cash gift promotion,iprivileges.how_to_participate_in_dbs_staff_promotion,114
use phone tracker join health,ihealth.how_to_connect_my_device_to_ihealth_app,83
use download health application,ihealth.how_to_get_started_with_ihealth_mobile_app,85
waive monthly account fee,iprivileges.waiver_for_non-salary_crediting_account,123
arrange guest programme dept,talent_management.host_a_be_my_guest_opportunity,440
change share contribution twice year,shares.can_i_stop_or_change_my_ishares_contribution,391
claim 2020 receipt 2021 flex,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,67
claim external training,training.external_training_process,459
claim medical parent,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
consider making training applicable employee,training.training_suggestion,488
convert it balance credit cash award,itq_and_wetq.can_i_swap_awarded_itq_points_for_cash,126
form team 6 health team challenge,ihealth.how_to_join_a_team_program,86
5 member team program,ihealth.how_to_join_a_team_program,86
introduce training course,training.training_suggestion,488
leave office 5 day beside friday,general_benefits.5_at_5,42
redeem it point convert cash,itq_and_wetq.can_i_swap_awarded_itq_points_for_cash,126
still add team member team program started,ihealth.can_i_join_the_team_program_midway,77
swap it balance cash,itq_and_wetq.can_i_swap_awarded_itq_points_for_cash,126
take external course,training.external_training_process,459
take leaf probation,leave.can_i_apply_leave_during_notice_period,138
take used vehicle car lease scheme,payroll.what_is_car_lease_scheme,271
wear cap work,onboarding.dress_code,205
wear bermuda work,onboarding.dress_code,205
wear jean,onboarding.dress_code,205
wear sleeveless top work,onboarding.dress_code,205
wear sneaker,onboarding.dress_code,205
wear sport shoe,onboarding.dress_code,205
weekend part block leave,leave.what_can_be_considered_as_block_leave,153
advise change residency status weekday,people_hub.how_to_update_singapore_pr_status_in_people_hub,319
advise make change outside apps record people hub,people_hub.how_to_submit_outside_appointment_in_people_hub,310
advise input goal new people hub sys,performance_and_development.how_to_add_or_edit_my_goals,350
advise skill need future work,future_of_work.skills_needed_to_continue_building_career_in_dbs,39
advise price share purchased monthly,shares.how_is_the_share_price_determined,397
advise step add goal people hub,performance_and_development.how_to_add_or_edit_my_goals,350
advise step amend leave leave application sent back index,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
advise step open cdp ac,shares.how_to_open_cdp_account,400
advise date input or,performance_and_development.performance_review_date,375
advise whats lds tender date,offboarding.how_to_determine_last_day_of_service,196
advise whats last day service tender date,offboarding.how_to_determine_last_day_of_service,196
assist getting trading account,shares.how_to_open_cdp_account,400
assist banking account,iprivileges.iprivileges_escalation,115
assist modify 1bank,onboarding.can_i_change_my_1bank_id,204
assist applying corporate card,iprivileges.corporate_credit_card,104
assist addition daughter detail weekday,people_hub.how_to_add_newborns___childs_details_in_people_hub,293
assist personal loan application,iprivileges.how_to_apply_for_staff_personal_loan,111
check wife enrolled company insurance,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
check leave record pls,leave.leaves_of_direct_reports,151
check status medical claim well,medical.medical_claim_status,177
consider reviewing private insurer rate offered hi market competitive,medical.why_voluntary_medical_plan_premium_is_higher,193
give leave failed detail year,leave.can_i_take_leave,140
grant new joined access it platform,itq_and_wetq.new_hire_access_to_itq_wetq,131
guide change existing outside apps record,people_hub.how_to_submit_outside_appointment_in_people_hub,310
guide link apply staff tuition fee loan,iprivileges.how_to_apply_for_staff_study_loan,113
help check leave booking nov dec,leave.leaves_of_direct_reports,151
help change intranet display name,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it,414
help change medical claim,medical.how_to_cancel_or_amend_medical_claim,167
help performance review,performance_and_development.what_is_pd_year-end_review,385
help prepare work experience letter,standard_letter_request.can_i_request_dbs_to_generate_testimonial,432
help change 1bank login id,onboarding.can_i_change_my_1bank_id,204
help check salary crediting enjoying banking benefit,iprivileges.does_my_account_enjoy_staff_preferential_rates,106
help extend medical enrollment deadline,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme,164
help prepare biz intro letter,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
help reserve room db academy,training.dbs_academy_rooms,455
help manager leave delegation,people_hub.how_to_delegate_leave_rights_in_people_hub,305
let know step getting new kicker acct,shares.how_to_open_cdp_account,400
offer advice im moving new role,future_of_work.not_keen_with_the_new_role_being_offered,38
open trading account,shares.how_to_open_cdp_account,400
open kicker account,shares.how_to_open_cdp_account,400
please check get reservist pay,payroll.ns_make_up_pay,256
prepare reference letter,standard_letter_request.can_i_request_dbs_to_generate_testimonial,432
provide info meal claim,payroll.meal_claim,253
provide info tax clearance,payroll.tax_clearance_for_spr,262
provide baby bonus form,medical.how_to_claim_baby_bonus,168
public holiday india,leave.list_of_public_holidays,152
send back staff performance development review submitted error,performance_and_development.how_to_manually_retrieve_the_yer,356
send back compensation template update,compensation.can_i_amend_submitted_comp_review_proposals,0
send latest hr policy,general_benefits.benefits,44
send aae question hip nomination,hipo_management.i_did_not_receive_the_nomination_aae_questionnaire,54
send staff pdr submitted instead saving document,performance_and_development.how_to_manually_retrieve_the_yer,356
send new hire 1bank id,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
share info shield plan,medical.what_is_shield_companion,186
share going review process link,performance_and_development.how_to_add_or_edit_my_goals,350
share hr contact need ask detail,general_benefits.who_is_my_hr_rm,51
share holiday date,leave.list_of_public_holidays,152
share personal loan application,iprivileges.how_to_apply_for_staff_personal_loan,111
start health habit challenge,ihealth.healthy_habit_challenges,81
still claim flex resign,iflex.can_i_know_what_is_my_iflex_entitlement,62
submit leave request behalf,leave.can_i_take_leave,140
teach complete pdr peoplehub,performance_and_development.how_to_start_my_pd_year-end_review,362
tell share work,shares.how_does_ishares_work,396
tell complete course evaluation,training.where_do_i_do_complete_my_course_evaluation,498
tell need skill,future_of_work.do_i_need_to_be_upskilled_or_reskilled_or_redeployed,34
tell share,shares.how_does_ishares_work,396
tell new share plan announced push,shares.what_is_ishares,407
tell transition plan employee,future_of_work.employee_transition_plan,35
tell upskilling reskilling program bank employee,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
tell pdp,performance_and_development.goal_setting_process,344
tell last day resign today,offboarding.how_to_determine_last_day_of_service,196
tell ass skill,performance_and_development.why_do_i_need_to_assess_my_skills,387
tell flex claim approved,iflex.iflex_issues,73
tell flex claim rejected,iflex.iflex_issues,73
tell step create 1banked intern,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
tell employee spent profit,compensation.what_is_balanced_distribution_of_earnings,13
waive bank charge account,iprivileges.waiver_for_non-salary_crediting_account,123
waive fee casa account,iprivileges.waiver_for_non-salary_crediting_account,123
cant claim flex,iflex.iflex_issues,73
cant complete goal development plan came back sabbatical leave,performance_and_development.staff_cannot_complete_goal-setting_by_deadline,379
cant complete performance development review today,performance_and_development.cannot_submit_year-end_review_by_deadline,338
cant complete year end self evaluation deadline leave,performance_and_development.cannot_submit_year-end_review_by_deadline,338
cant find comp,compensation.cannot_view_year-end_comp_review,1
cant indicate bonus recommendation team,compensation.how_to_access_the_year-end_comp_review,8
cant launch online training learning portal,training.cannot_launch_e-learning,451
cant link apple watch health app,ihealth.how_to_connect_my_device_to_ihealth_app,83
cant load learning,training.cannot_launch_e-learning,451
cant load online learning,training.cannot_launch_e-learning,451
cant load internal job posting page,internal_mobility.internal_mobility_system_escalation,101
cant open video learning hub,training.cannot_launch_e-learning,451
cant proceed internal mobility application keep getting error msg,internal_mobility.internal_mobility_system_escalation,101
cant retrieve year end comp index ph archive,compensation.cannot_view_year-end_comp_review,1
cant see new joined info comp template,compensation.who_is_eligible_for_compensation_review,17
cant see pdr,performance_and_development.how_to_retrieve_my_submitted_pd_document,358
cant see staff comp,compensation.cannot_view_year-end_comp_review,1
cant seem logo db career page,onboarding.login_access_to_taleo,210
cant submit comp,compensation.unable_to_submit_my_comp_review_proposals,12
cant submit comp review people hub,compensation.unable_to_submit_my_comp_review_proposals,12
cant submit yer deadline,performance_and_development.cannot_submit_year-end_review_by_deadline,338
cant view compensation submission,compensation.cannot_view_year-end_comp_review,1
canicarryforwardmyleave,leave.can_i_carry_forward_my_leave,139
canada visa letter,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
cancel leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
cancel class registration,training.course_withdrawal,453
cancel flex claim,iflex.iflex_claim_resubmission_deletion,72
cancel medical claim,medical.how_to_cancel_or_amend_medical_claim,167
cancel resignation request,people_hub.how_to_rescind_retract_resignation_in_people_hub,308
cancellation resignation,people_hub.how_to_rescind_retract_resignation_in_people_hub,308
candidate screening cf,cwms.cwf_pre_employment_screening,21
cannot access health app,ihealth.cannot_access_ihealth_app,79
cannot access internal job portal,internal_mobility.internal_mobility_system_escalation,101
cannot access internal career site,internal_mobility.internal_mobility_system_escalation,101
cannot complete one month notice period,payroll.how_to_compute_salary-in-lieu_of_notice,238
cannot complete year end comp proposal online,compensation.unable_to_submit_my_comp_review_proposals,12
cannot complete yearend compensation review team,compensation.unable_to_submit_my_comp_review_proposals,12
cannot find direct report name manager comp page,compensation.who_is_eligible_for_compensation_review,17
cannot find comp submission,compensation.cannot_view_year-end_comp_review,1
cannot find pdr,performance_and_development.how_to_retrieve_my_submitted_pd_document,358
cannot finish flex,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,67
cannot launch learning course,training.cannot_launch_e-learning,451
cannot load job opportunity page,internal_mobility.internal_mobility_system_escalation,101
cannot locate clinic name medical portal,medical.i_cannot_find_the_clinic_name_from_the_dropdown_list_,172
cannot locate pd document,performance_and_development.how_to_retrieve_my_submitted_pd_document,358
cannot log health app even though email password correct,ihealth.cannot_access_ihealth_app,79
cannot login health app,ihealth.cannot_access_ihealth_app,79
cannot login recruitment hub,internal_mobility.internal_mobility_system_escalation,101
cannot meet deadline complete goal development plan long leave,performance_and_development.staff_cannot_complete_goal-setting_by_deadline,379
cannot open or doc,performance_and_development.cannot_select_on-going_review_template,337
cannot see comp module,compensation.cannot_view_year-end_comp_review,1
cannot see comp,compensation.cannot_view_year-end_comp_review,1
cannot see job opportunity,internal_mobility.internal_mobility_system_escalation,101
cannot see new joined detail compensation template,compensation.who_is_eligible_for_compensation_review,17
cannot select pdr template people hub,performance_and_development.how_to_resume_my_saved_pd_document,357
cannot submit compensation review,compensation.unable_to_submit_my_comp_review_proposals,12
cannot submit comp,compensation.unable_to_submit_my_comp_review_proposals,12
cannot submit going review template,performance_and_development.cannot_select_on-going_review_template,337
cannot submit recommendation compensation proposal,compensation.unable_to_submit_my_comp_review_proposals,12
cannot submit yearend review deadline,performance_and_development.cannot_submit_year-end_review_by_deadline,338
cannot sync activity device health,ihealth.how_to_connect_my_device_to_ihealth_app,83
cannot trigger 3 task rendering resignation,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,195
cant open ongoing review system pls assist,performance_and_development.cannot_select_on-going_review_template,337
cap daily step,ihealth.what_is_the_daily_step_caps,91
car accident going home office,medical.who_can_i_contact_if_i_injured_myself_at_work,190
car allowance,payroll.transport_allowance,265
car allowance,payroll.transport_allowance,265
car allowance vp,payroll.transport_allowance,265
car loan contract staff,iprivileges.staff_car_loan,117
car loan employee,iprivileges.staff_car_loan,117
car loan staff,iprivileges.staff_car_loan,117
car loan rate staff,iprivileges.staff_car_loan,117
car parking,training.parking_at_dbs_premises,482
career aspiration,internal_mobility.developing_my_career_in_dbs,93
career development,performance_and_development.why_is_a_development_plan_important,389
career development plan,performance_and_development.why_is_a_development_plan_important,389
career development tool,internal_mobility.developing_my_career_in_dbs,93
career development tool,internal_mobility.developing_my_career_in_dbs,93
career growth,internal_mobility.developing_my_career_in_dbs,93
career hub,internal_mobility.developing_my_career_in_dbs,93
career opportunity db,internal_mobility.internal_mobility,97
career opportunity bank,internal_mobility.internal_mobility,97
career opportunity,internal_mobility.developing_my_career_in_dbs,93
career progression advise,internal_mobility.developing_my_career_in_dbs,93
careerhub,internal_mobility.developing_my_career_in_dbs,93
carried forward flex next year,iflex.guideline_to_claim_from_carried_forward__current_year_iflex,67
carry forward leave,leave.can_i_carry_forward_my_leave,139
carry flex,iflex.can_my_iflex_be_carried_forward_to_next_year,64
carry flex balance,iflex.can_my_iflex_be_carried_forward_to_next_year,64
carryforward leave,leave.can_i_carry_forward_my_leave,139
carryforward leave year,leave.can_i_carry_forward_my_leave,139
carryforward leave,leave.can_i_carry_forward_my_leave,139
carryover leave,leave.can_i_carry_forward_my_leave,139
cascade goal,performance_and_development.cascading_of_goals_by_manager,339
cascade objective year,performance_and_development.cascading_of_goals_by_manager,339
cascading ki,performance_and_development.cascading_of_goals_by_manager,339
cash amount baby bonus get,medical.what_is_the_status_of_my_baby_bonus_claim,187
cash gift promo,iprivileges.dbs_staff_promotion,105
cash gift promotion,iprivileges.dbs_staff_promotion,105
cash annual leave,leave.leave_encashment,149
cash reward newborn,medical.how_to_claim_baby_bonus,168
cash reward newborn baby,medical.how_to_claim_baby_bonus,168
bg reskilling initiative db,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
cek loan eligibility,iprivileges.staff_loans,119
celebration club,general_benefits.what_is_celeb_club_and_club_membership,50
cert,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
cert claim,training.training_claims,484
cert fee,training.training_claims,484
certificate,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
certificate fee,training.training_claims,484
certificate,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
change 1bank id name pattern improper,onboarding.can_i_change_my_1bank_id,204
change fin,people_hub.how_to_update_fin_in_people_hub,315
change ordo investment fund,payroll.can_i_change_my_orso_investment_fund_choices,220
change bank account,staff_info_update.how_can_i_change_my_salary_crediting_account,411
change boy detail,staff_info_update.update_dependant_info,419
change bps number peoplehub,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
change child passport,staff_info_update.update_dependant_info,419
change child passport number,staff_info_update.update_dependant_info,419
change child detail,staff_info_update.update_dependant_info,419
change comm chest donation amount,payroll.i_would_like_to_increase_decrease_opt_out_the_community_chest_donation_,248
change contact info,staff_info_update.update_contact_info_and_address,418
change contact info hr record,people_hub.how_to_update_contact_info_in_people_hub,312
change contribution community chest form,payroll.i_would_like_to_increase_decrease_opt_out_the_community_chest_donation_,248
change daughter detail,staff_info_update.update_dependant_info,419
change dependent name,staff_info_update.update_dependant_info,419
change dependent passport,staff_info_update.update_dependant_info,419
change dependent passport number,staff_info_update.update_dependant_info,419
change defendant info,staff_info_update.update_dependant_info,419
change dependent name,staff_info_update.update_dependant_info,419
change dependent passport,staff_info_update.update_dependant_info,419
change dependent passport number,staff_info_update.update_dependant_info,419
change display name intranet employee profile,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it,414
change foreign identification number hr record,people_hub.how_to_update_fin_in_people_hub,315
change female male,people_hub.how_to_update_gender_in_people_hub,316
change male female,people_hub.how_to_update_gender_in_people_hub,316
change gender,people_hub.how_to_update_gender_in_people_hub,316
change girl detail,staff_info_update.update_dependant_info,419
change handphone number,staff_info_update.update_contact_info_and_address,418
change flex claim submitted,iflex.iflex_claim_resubmission_deletion,72
change passport number,staff_info_update.update_passport_number,420
change intranet photo,people_hub.how_to_change_my_photo_in_people_hub,299
change intranet pick,people_hub.how_to_change_my_photo_in_people_hub,299
change living place db record,staff_info_update.update_contact_info_and_address,418
change medical insurance coverage,medical.can_i_change_my_medical_insurance_coverage,157
change mobile,staff_info_update.update_contact_info_and_address,418
change voluntary provide fund,payroll.vpf_contribution,270
