,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
1954,i would like to know how be i get the dividend declare from dbs share,shares.dividends_from_ishares,392,392,shares.dividends_from_ishares,0.5993781685829163,0.017013154923915863,0.012130637653172016,392,400,396,shares.dividends_from_ishares,shares.ishares_and_leaving_dbs_group,shares.how_is_the_share_price_determined
1955,one stop employee,people_hub.how_to_rescind_retract_resignation_in_people_hub,308,415,staff_info_update.outside_appointment,0.08903328329324722,0.05194998160004616,0.03170173987746239,415,26,213,staff_info_update.outside_appointment,cwms.managed_service_or_resource_tracking_in_cwms,onboarding.new_hire_staff_pass
1956,remove staff,staff_info_update.change_in_reporting_manager,408,197,offboarding.manager_to-do_list_for_employee_resignation,0.10315822064876556,0.07991624623537064,0.07157270610332489,197,27,195,offboarding.manager_to-do_list_for_employee_resignation,cwms.termination_or_cancellation_in_cwms,offboarding.cannot_trigger_3_tasks_after_tendering_resignation
1957,how many hour for half day leave,general_benefits.festive_early_release,47,150,leave.leave_guidelines,0.9557490944862366,0.00482162507250905,0.00254492717795074,150,140,146,leave.leave_guidelines,leave.can_i_take_leave,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph
1958,where do i get my pf balance,payroll.how_to_view_my_vpf_contribution,245,245,payroll.how_to_view_my_vpf_contribution,0.6268651485443115,0.16284489631652832,0.014819306321442127,245,270,261,payroll.how_to_view_my_vpf_contribution,payroll.vpf_contribution,payroll.relevant_income_under_mpf
1959,stock trading,shares.how_can_i_find_out_the_price_of_a_dbsh_share,394,394,shares.how_can_i_find_out_the_price_of_a_dbsh_share,0.4238432049751282,0.09221938252449036,0.0482957549393177,394,396,391,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.how_is_the_share_price_determined,shares.crediting_of_contribution_shares
1960,who to apply car park at mb,training.parking_at_dbs_premises,481,481,training.parking_at_dbs_premises,0.1811387538909912,0.06312193721532822,0.030666064471006393,481,213,417,training.parking_at_dbs_premises,onboarding.new_hire_staff_pass,staff_info_update.update_contact_info_and_address
1961,where to submit claim,training.training_claims,483,171,medical.how_to_submit_medical_claim,0.8392074108123779,0.013408047147095203,0.011898672208189964,171,69,75,medical.how_to_submit_medical_claim,iflex.how_to_submit_iflex_claim,iflex.what_can_be_claimed_against_iflex
1962,dbs facility department,internal_mobility.internal_mobility,97,26,cwms.managed_service_or_resource_tracking_in_cwms,0.13144610822200775,0.09520471096038818,0.061940379440784454,26,213,29,cwms.managed_service_or_resource_tracking_in_cwms,onboarding.new_hire_staff_pass,cwms.what_is_cwms
1963,facility,general_benefits.benefits,44,454,training.dbs_academy_rooms,0.0773475393652916,0.06667863577604294,0.031115401536226273,454,213,184,training.dbs_academy_rooms,onboarding.new_hire_staff_pass,medical.what_is_an_e-card
1964,three hundred,escalation.escalation_cases,32,140,leave.can_i_take_leave,0.13730432093143463,0.031030138954520226,0.024290606379508972,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
1965,enroll in i share,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.3942897319793701,0.09957921504974365,0.0689876601099968,398,393,406,shares.how_to_join_ishares,shares.eligibility_criteria_for_ishares,shares.what_is_ishares
1966,how to reinstate an id access to victimize,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.3333853781223297,0.11716841906309128,0.10121087729930878,216,204,211,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.can_i_change_my_1bank_id,onboarding.new_hire_1bank_password
1967,how to reinstate an id access,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.3989212214946747,0.21998673677444458,0.042054928839206696,216,204,211,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.can_i_change_my_1bank_id,onboarding.new_hire_1bank_password
1968,cash encasement,payroll.what_is_my_bonus_pay_out_computation,274,123,iprivileges.waiver_for_non-salary_crediting_account,0.1915026158094406,0.14404499530792236,0.09331854432821274,123,240,163,iprivileges.waiver_for_non-salary_crediting_account,payroll.how_to_generate_my_payslip,medical.how_can_i_avail_cashless_hospitalization_benefit
1969,how to reinstate an id access,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.3989212214946747,0.21998673677444458,0.042054928839206696,216,204,211,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.can_i_change_my_1bank_id,onboarding.new_hire_1bank_password
1970,sick leave unused,medical.medical_certificate,176,150,leave.leave_guidelines,0.9792568683624268,0.005241973791271448,0.0006546055083163083,150,140,146,leave.leave_guidelines,leave.can_i_take_leave,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph
1971,it security issue,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.10571762174367905,0.08374401181936264,0.04589792340993881,216,211,83,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_1bank_password,ihealth.how_to_connect_my_device_to_ihealth_app
1972,issue with dbs learn hub,training.accessing_dbs_learning_hub,443,450,training.cannot_launch_e-learning,0.3016972541809082,0.0859263688325882,0.0579347088932991,450,443,489,training.cannot_launch_e-learning,training.accessing_dbs_learning_hub,training.what_is_dbs_learning_hub
1973,dbs academy assistance,training.dbs_academy_rooms,454,454,training.dbs_academy_rooms,0.10636463761329651,0.0688251405954361,0.049812063574790955,454,443,449,training.dbs_academy_rooms,training.accessing_dbs_learning_hub,training.can_managers_enroll_staff_for_courses
1974,assistance for saba,training.accessing_dbs_learning_hub,443,499,training.who_is_required_to_complete_the_mandatory_learning,0.15132170915603638,0.12137196958065033,0.044264767318964005,499,487,488,training.who_is_required_to_complete_the_mandatory_learning,training.training_suggestion,training.what_is_a_mandatory_learning
1975,dbs learn hub help,training.what_is_dbs_learning_hub,489,489,training.what_is_dbs_learning_hub,0.2258903682231903,0.09938900917768478,0.058954063802957535,489,443,495,training.what_is_dbs_learning_hub,training.accessing_dbs_learning_hub,training.where_can_i_locate_my_e-learnings_in_dbs_learning_hub
1976,get feedback on worker,performance_and_development.how_to_get_feedback,354,343,performance_and_development.getting_feedback_for_performance_review,0.420666366815567,0.06983955204486847,0.06020413711667061,343,341,354,performance_and_development.getting_feedback_for_performance_review,performance_and_development.did_my_manager_initiate_a_get_feedback_for_me,performance_and_development.how_to_get_feedback
1977,ask see wei how to do it h aha i be sure the qr gift one be from her lo,payroll.benefits-in-kind_in_form_ir8e,218,132,itq_and_wetq.recognition_in_dbs,0.1829891949892044,0.1773204803466797,0.043206457048654556,132,130,128,itq_and_wetq.recognition_in_dbs,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination
1978,how to handle dais benchmark fall back,compensation.how_does_the_bank_achieve_market_competitiveness,4,4,compensation.how_does_the_bank_achieve_market_competitiveness,0.15882860124111176,0.09892453998327255,0.020528748631477356,4,15,8,compensation.how_does_the_bank_achieve_market_competitiveness,compensation.what_is_market_benchmarking,compensation.how_to_access_the_year-end_comp_review
1979,benchmark protocol,compensation.what_is_market_benchmarking,15,4,compensation.how_does_the_bank_achieve_market_competitiveness,0.3130578398704529,0.2825498878955841,0.013513877056539059,4,15,8,compensation.how_does_the_bank_achieve_market_competitiveness,compensation.what_is_market_benchmarking,compensation.how_to_access_the_year-end_comp_review
1980,goal,performance_and_development.performance_and_development,373,344,performance_and_development.goal_setting_process,0.4149741530418396,0.236283078789711,0.06416086852550507,344,381,350,performance_and_development.goal_setting_process,performance_and_development.what_constitutes_a_good_goal,performance_and_development.how_to_add_or_edit_my_goals
1981,can not use dbs six digit op,leave.list_of_public_holidays,152,318,people_hub.how_to_update_national_id_or_government_id_in_people_hub,0.5679993033409119,0.025751005858182907,0.019182996824383736,318,204,433,people_hub.how_to_update_national_id_or_government_id_in_people_hub,onboarding.can_i_change_my_1bank_id,standard_letter_request.dbs_letterhead_and_dbs_company_stamp
1982,vows,payroll.what_is_my_bonus_pay_out_computation,274,461,training.gesp_service_period,0.03198498860001564,0.019404150545597076,0.015297656878829002,461,460,431,training.gesp_service_period,training.gesp_eligibility,standard_letter_request.can_i_request_dbs_to_generate_testimonial
1983,annual leave entitlement exclude carryover,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.7573753595352173,0.09373432397842407,0.02926352620124817,139,149,329,leave.can_i_carry_forward_my_leave,leave.leave_encashment,people_hub.what_is_my_leave_balance
1984,e letter,compensation.how_to_view_my_compensation_eletter,9,420,standard_letter_request.can_hr_prepare_a_letter_for_me,0.2703375816345215,0.09218691289424896,0.03795335814356804,420,9,16,standard_letter_request.can_hr_prepare_a_letter_for_me,compensation.how_to_view_my_compensation_eletter,compensation.when_will_the_compensation_eletter_communication_start
1985,last year carryover leave,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.6414248943328857,0.1414380967617035,0.026936111971735954,139,137,329,leave.can_i_carry_forward_my_leave,leave.can_i_apply_back_dated_leave,people_hub.what_is_my_leave_balance
1986,webbing january,performance_and_development.performance_and_development,373,75,iflex.what_can_be_claimed_against_iflex,0.055509235709905624,0.042263686656951904,0.031332507729530334,75,64,62,iflex.what_can_be_claimed_against_iflex,iflex.can_my_iflex_be_carried_forward_to_next_year,iflex.can_i_know_what_is_my_iflex_entitlement
1987,when will bonus be pay out this year,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.7788817882537842,0.03371017798781395,0.0037315187510102987,282,274,267,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,payroll.variable_sales_incentives
1988,laptop button,training.what_is_dbs_learning_hub,489,290,people_hub.dbs_people_hub,0.17267537117004395,0.08117984235286713,0.030203696340322495,290,216,318,people_hub.dbs_people_hub,onboarding.when_will_the_new_hire_1bank_id_be_ready,people_hub.how_to_update_national_id_or_government_id_in_people_hub
1989,can not find top-up mobile pre-paid card,training.accessing_dbs_learning_hub,443,116,iprivileges.personal_credit_cards_application,0.33916330337524414,0.1892799735069275,0.17187713086605072,116,184,104,iprivileges.personal_credit_cards_application,medical.what_is_an_e-card,iprivileges.corporate_credit_card
1990,where can i find my monthly pay slip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9638251662254333,0.00257222936488688,0.0021899892017245293,240,256,283,payroll.how_to_generate_my_payslip,payroll.ns_make_up_pay,payroll.when_will_i_get_my_pay
1991,investment proof,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.8692671656608582,0.04070048779249191,0.0021932930685579777,242,241,410,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,staff_info_update.how_can_i_change_my_salary_crediting_account
1992,how to return machine,offboarding.return_of_staff_pass_and_bank_properties,202,202,offboarding.return_of_staff_pass_and_bank_properties,0.33000707626342773,0.07995197921991348,0.041268058121204376,202,195,436,offboarding.return_of_staff_pass_and_bank_properties,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
1993,i do not get the acknowledge selection,performance_and_development.must_resigned_employee_complete_their_pd,370,369,performance_and_development.must_I_acknowledge_my_pd_yer,0.420798659324646,0.08670248836278915,0.02050872892141342,369,359,129,performance_and_development.must_I_acknowledge_my_pd_yer,performance_and_development.how_to_review_and_acknowledge_yer,itq_and_wetq.how_to_redeem_itq_wetq_rewards
1994,reject performance review,performance_and_development.how_to_approve_on-going_review,352,352,performance_and_development.how_to_approve_on-going_review,0.07453687489032745,0.06431405991315842,0.047108735889196396,352,342,361,performance_and_development.how_to_approve_on-going_review,performance_and_development.do_i_need_to_include_my_self-evaluation_comments,performance_and_development.how_to_send_back_goals_to_my_staff
1995,how do i acknowledge pd,performance_and_development.how_to_review_and_acknowledge_yer,359,369,performance_and_development.must_I_acknowledge_my_pd_yer,0.4449632465839386,0.2328803986310959,0.013562867417931557,369,359,362,performance_and_development.must_I_acknowledge_my_pd_yer,performance_and_development.how_to_review_and_acknowledge_yer,performance_and_development.how_to_start_my_pd_year-end_review
1996,can i take sick leave for medical check up,medical.medical_certificate,176,43,general_benefits.annual_health_screening,0.3393295407295227,0.19847021996974945,0.05158401280641556,43,68,174,general_benefits.annual_health_screening,iflex.health_screening_claim,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_
1997,how do i apply for car park,training.parking_at_dbs_premises,481,481,training.parking_at_dbs_premises,0.15833355486392975,0.056492652744054794,0.03172940015792847,481,213,118,training.parking_at_dbs_premises,onboarding.new_hire_staff_pass,iprivileges.staff_home_loan
1998,access to share directory,shares.what_is_ishares,406,290,people_hub.dbs_people_hub,0.29070141911506653,0.10321614146232605,0.04347795993089676,290,210,212,people_hub.dbs_people_hub,onboarding.login_access_to_taleo,onboarding.new_hire_profile
1999,unable to retrieve share mail box,shares.crediting_of_contribution_shares,391,96,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub,0.089441679418087,0.05938350781798363,0.053433358669281006,96,101,208,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub,internal_mobility.internal_mobility_system_escalation,onboarding.how_to_upload_documents_after_onboarding
2000,when will we be get our feb pay,payroll.festive_early_pay,229,283,payroll.when_will_i_get_my_pay,0.9784263968467712,0.002664676634594798,0.0022063017822802067,283,229,240,payroll.when_will_i_get_my_pay,payroll.festive_early_pay,payroll.how_to_generate_my_payslip
2001,staff pass access hour,onboarding.new_hire_staff_pass,213,213,onboarding.new_hire_staff_pass,0.9611425399780273,0.004050425719469786,0.003536859294399619,213,75,184,onboarding.new_hire_staff_pass,iflex.what_can_be_claimed_against_iflex,medical.what_is_an_e-card
2002,job function,internal_mobility.job_posting_notification_in_dbs_recruiting_hub,102,95,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,0.18484845757484436,0.0996747612953186,0.08925160020589828,95,304,41,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,people_hub.how_to_create_job_requisition_in_people_hub,future_of_work.what_roles_are_impacted_due_to_future_of_work
2003,e concierge,general_benefits.benefits,44,213,onboarding.new_hire_staff_pass,0.16252408921718597,0.05717228725552559,0.040829356759786606,213,166,75,onboarding.new_hire_staff_pass,medical.how_do_i_go_about_paying_my_medical_bills,iflex.what_can_be_claimed_against_iflex
2004,how to get my payslip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9532588124275208,0.00915466621518135,0.003064405871555209,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
2005,how to pay corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.41221722960472107,0.28975483775138855,0.05531811714172363,104,116,184,iprivileges.corporate_credit_card,iprivileges.personal_credit_cards_application,medical.what_is_an_e-card
2006,corporate card payment,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.4848983585834503,0.19828172028064728,0.04542927443981171,104,116,184,iprivileges.corporate_credit_card,iprivileges.personal_credit_cards_application,medical.what_is_an_e-card
2007,my query be on dependent pass dp,standard_letter_request.how_can_i_apply_for_dependant_pass,435,435,standard_letter_request.how_can_i_apply_for_dependant_pass,0.4476333558559418,0.06568695604801178,0.0482640378177166,435,421,213,standard_letter_request.how_can_i_apply_for_dependant_pass,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application,onboarding.new_hire_staff_pass
2008,daily movement record,payroll.annual_wage_supplement,217,323,people_hub.how_to_view_outside_appointment_in_people_hub,0.02642485871911049,0.02615179866552353,0.017325324937701225,323,312,318,people_hub.how_to_view_outside_appointment_in_people_hub,people_hub.how_to_update_contact_info_in_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub
2009,chinese new year early pay,payroll.festive_early_pay,229,229,payroll.festive_early_pay,0.8867825269699097,0.016789669170975685,0.00748426141217351,229,47,283,payroll.festive_early_pay,general_benefits.festive_early_release,payroll.when_will_i_get_my_pay
2010,be there early retirement in dbs,escalation.escalation_cases,32,47,general_benefits.festive_early_release,0.171607106924057,0.05159498378634453,0.027849728241562843,47,229,32,general_benefits.festive_early_release,payroll.festive_early_pay,escalation.escalation_cases
2011,hr question,general_benefits.benefits,44,51,general_benefits.who_is_my_hr_rm,0.6997031569480896,0.026510225608944893,0.016844376921653748,51,48,377,general_benefits.who_is_my_hr_rm,general_benefits.hr_circulars,performance_and_development.request_for_hr_intervention_during_pdr
2012,different rating,performance_and_development.how_to_review_and_acknowledge_yer,359,362,performance_and_development.how_to_start_my_pd_year-end_review,0.33581340312957764,0.06335204094648361,0.049075379967689514,362,369,359,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.must_I_acknowledge_my_pd_yer,performance_and_development.how_to_review_and_acknowledge_yer
2013,official working hour,escalation.escalation_cases,32,42,general_benefits.5_at_5,0.2131008356809616,0.13036572933197021,0.07801716774702072,42,32,47,general_benefits.5_at_5,escalation.escalation_cases,general_benefits.festive_early_release
2014,when be i share,shares.what_is_ishares,406,398,shares.how_to_join_ishares,0.04024663195014,0.01990148425102234,0.01713305339217186,398,406,393,shares.how_to_join_ishares,shares.what_is_ishares,shares.eligibility_criteria_for_ishares
2015,and my manager have acknowledge,performance_and_development.how_to_review_and_acknowledge_yer,359,369,performance_and_development.must_I_acknowledge_my_pd_yer,0.24800416827201843,0.07848085463047028,0.014432183466851711,369,359,129,performance_and_development.must_I_acknowledge_my_pd_yer,performance_and_development.how_to_review_and_acknowledge_yer,itq_and_wetq.how_to_redeem_itq_wetq_rewards
2016,i have submit my pd year end review,performance_and_development.what_is_pd_year-end_review,385,358,performance_and_development.how_to_retrieve_my_submitted_pd_document,0.5885553956031799,0.13512806594371796,0.04294881597161293,358,362,385,performance_and_development.how_to_retrieve_my_submitted_pd_document,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.what_is_pd_year-end_review
2017,general hr email,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9184293150901794,0.0058210548013448715,0.005794313736259937,51,48,312,general_benefits.who_is_my_hr_rm,general_benefits.hr_circulars,people_hub.how_to_update_contact_info_in_people_hub
2018,ms access request,training.accessing_dbs_learning_hub,443,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.8453866839408875,0.02334207110106945,0.014762361533939838,216,213,211,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_staff_pass,onboarding.new_hire_1bank_password
2019,what be dbs people hub link,people_hub.dbs_people_hub,290,290,people_hub.dbs_people_hub,0.7538663148880005,0.010852950625121593,0.008946008048951626,290,210,216,people_hub.dbs_people_hub,onboarding.login_access_to_taleo,onboarding.when_will_the_new_hire_1bank_id_be_ready
2020,i able to send out daily but today i have this issue,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,420,standard_letter_request.can_hr_prepare_a_letter_for_me,0.10140980780124664,0.029514899477362633,0.015489855781197548,420,208,16,standard_letter_request.can_hr_prepare_a_letter_for_me,onboarding.how_to_upload_documents_after_onboarding,compensation.when_will_the_compensation_eletter_communication_start
2021,hr reference letter,onboarding.how_to_upload_documents_after_onboarding,208,420,standard_letter_request.can_hr_prepare_a_letter_for_me,0.6773727536201477,0.02968251332640648,0.019491717219352722,420,16,431,standard_letter_request.can_hr_prepare_a_letter_for_me,compensation.when_will_the_compensation_eletter_communication_start,standard_letter_request.can_i_request_dbs_to_generate_testimonial
2022,dbs learning hub support who can i contact,training.accessing_dbs_learning_hub,443,489,training.what_is_dbs_learning_hub,0.15963414311408997,0.1205294281244278,0.035522814840078354,489,443,485,training.what_is_dbs_learning_hub,training.accessing_dbs_learning_hub,training.training_escalation
2023,national service leave as block leave,leave.what_can_be_considered_as_block_leave,153,153,leave.what_can_be_considered_as_block_leave,0.958043098449707,0.003958658780902624,0.001875131274573505,153,292,147,leave.what_can_be_considered_as_block_leave,people_hub.how_do_i_generate_block_leave_report_in_people_hub,leave.how_do_i_claim_my_public_holiday_off-in-lieu
2024,who do i contact in ask hr,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9372496008872986,0.005148574244230986,0.003720832522958517,51,48,312,general_benefits.who_is_my_hr_rm,general_benefits.hr_circulars,people_hub.how_to_update_contact_info_in_people_hub
2025,may i check if i be able to upload the anytime feedback,performance_and_development.anytime_feedback,331,331,performance_and_development.anytime_feedback,0.2636643350124359,0.14275595545768738,0.09209830313920975,331,363,380,performance_and_development.anytime_feedback,performance_and_development.how_to_view_feedback_received,performance_and_development.tips_to_write_constructive_feedback
2026,how to find email from long ago,people_hub.how_to_check_my_joined_date_in_people_hub,300,312,people_hub.how_to_update_contact_info_in_people_hub,0.09940406680107117,0.02701372094452381,0.02677556872367859,312,31,209,people_hub.how_to_update_contact_info_in_people_hub,employee_referral_programme.one_name_each_guide,onboarding.letter_of_appointment
2027,hi hi good morning one bot,escalation.escalation_cases,32,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.05522126331925392,0.05381796881556511,0.03798908367753029,216,203,212,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.arrangements_for_new_hire_prior_to_onboarding,onboarding.new_hire_profile
2028,list of system,general_benefits.benefits,44,184,medical.what_is_an_e-card,0.13660785555839539,0.044063348323106766,0.03457409888505936,184,290,318,medical.what_is_an_e-card,people_hub.dbs_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub
2029,how to access eons,internal_mobility.internal_mobility_system_escalation,101,137,leave.can_i_apply_back_dated_leave,0.05726995691657066,0.040333352982997894,0.038647960871458054,137,150,28,leave.can_i_apply_back_dated_leave,leave.leave_guidelines,cwms.timesheet_and_invoicing_matters_in_cwms
2030,shift allowance,payroll.i_have_not_received_my_allowances_,247,232,payroll.how_do_i_compute_allowances,0.45233139395713806,0.06294434517621994,0.016085684299468994,232,247,284,payroll.how_do_i_compute_allowances,payroll.i_have_not_received_my_allowances_,payroll.who_can_claim_ot
2031,how to access gaol certification,performance_and_development.goal_setting_process,344,455,training.dbs_credit_certification,0.16978609561920166,0.1152116134762764,0.08686144649982452,455,447,472,training.dbs_credit_certification,training.can_i_progress_to_the_next_credit_certification_level,training.how_to_search_for_credit_certification_training
2032,previous leave,leave.can_i_apply_back_dated_leave,137,137,leave.can_i_apply_back_dated_leave,0.43094268441200256,0.29897862672805786,0.03502344712615013,137,151,292,leave.can_i_apply_back_dated_leave,leave.leaves_of_direct_reports,people_hub.how_do_i_generate_block_leave_report_in_people_hub
2033,bonus eligibility,payroll.when_is_our_bonus_credited,282,7,compensation.how_is_the_group_and_unit_bonus_pool_determined,0.13263942301273346,0.11963436007499695,0.07902666181325912,7,32,274,compensation.how_is_the_group_and_unit_bonus_pool_determined,escalation.escalation_cases,payroll.what_is_my_bonus_pay_out_computation
2034,professional membership claim,training.training_claims,483,483,training.training_claims,0.3833657205104828,0.10393185168504715,0.02860129624605179,483,473,471,training.training_claims,training.how_to_submit_gesp_claim,training.how_to_enrol_for_certificate_of_commercial_credit
2035,hr payment team,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.31759944558143616,0.020161893218755722,0.01900845766067505,51,377,320,general_benefits.who_is_my_hr_rm,performance_and_development.request_for_hr_intervention_during_pdr,people_hub.how_to_view_my_payslip_in_people_hub
2036,who be deem as covered person,internal_mobility.internal_mobility_eligibility_criteria,100,174,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,0.9735621809959412,0.0016591058811172843,0.0012554589193314314,174,171,164,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,medical.how_to_submit_medical_claim,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme
2037,deposit global portal,performance_and_development.performance_and_development,373,109,iprivileges.how_to_apply_for_staff_banking_privileges,0.17492540180683136,0.17180153727531433,0.14679044485092163,109,123,124,iprivileges.how_to_apply_for_staff_banking_privileges,iprivileges.waiver_for_non-salary_crediting_account,iprivileges.what_are_the_preferential_interest_rates_for_employees
2038,i need my payslip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9573414921760559,0.0046572452411055565,0.002491452032700181,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
2039,how to access to my pd year end review,performance_and_development.what_is_pd_year-end_review,385,358,performance_and_development.how_to_retrieve_my_submitted_pd_document,0.38563352823257446,0.2866766154766083,0.07095663249492645,358,362,385,performance_and_development.how_to_retrieve_my_submitted_pd_document,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.what_is_pd_year-end_review
2040,do we have month bonus,payroll.annual_wage_supplement,217,282,payroll.when_is_our_bonus_credited,0.4307897984981537,0.07678288966417313,0.021655021235346794,282,274,369,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,performance_and_development.must_I_acknowledge_my_pd_yer
2041,cony pay day,payroll.festive_early_pay,229,283,payroll.when_will_i_get_my_pay,0.964453935623169,0.00683110486716032,0.004423470702022314,283,229,240,payroll.when_will_i_get_my_pay,payroll.festive_early_pay,payroll.how_to_generate_my_payslip
2042,download dbs employment reference letter,onboarding.how_to_upload_documents_after_onboarding,208,425,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,0.20373573899269104,0.13269391655921936,0.07449060678482056,425,209,431,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,onboarding.letter_of_appointment,standard_letter_request.can_i_request_dbs_to_generate_testimonial
2043,dbs employment reference letter,onboarding.how_to_upload_documents_after_onboarding,208,425,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,0.24923351407051086,0.1877107173204422,0.06862496584653854,425,431,307,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,standard_letter_request.can_i_request_dbs_to_generate_testimonial,people_hub.how_to_print_hr_letters_in_people_hub
2044,rating,performance_and_development.how_to_review_and_acknowledge_yer,359,362,performance_and_development.how_to_start_my_pd_year-end_review,0.4056997299194336,0.09940359741449356,0.06313221901655197,362,359,369,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.how_to_review_and_acknowledge_yer,performance_and_development.must_I_acknowledge_my_pd_yer
2045,how to check my pay,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9622306823730469,0.005044281482696533,0.0022269662003964186,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
2046,bicycle parking,training.parking_at_dbs_premises,481,481,training.parking_at_dbs_premises,0.548930287361145,0.025963790714740753,0.021650677546858788,481,266,271,training.parking_at_dbs_premises,payroll.transport_reimbursement,payroll.what_is_car_lease_scheme
2047,can i carry forward my leave,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.9437876343727112,0.007293400354683399,0.003759953659027815,139,329,149,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
2048,retrieve employment contract,onboarding.letter_of_appointment,209,209,onboarding.letter_of_appointment,0.6896713376045227,0.06678741425275803,0.012906474992632866,209,425,94,onboarding.letter_of_appointment,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,internal_mobility.how_to_amend_or_withdraw_im_submission
2049,dbs one name,employee_referral_programme.one_name_each_guide,31,31,employee_referral_programme.one_name_each_guide,0.42623674869537354,0.043367527425289154,0.029330702498555183,31,312,318,employee_referral_programme.one_name_each_guide,people_hub.how_to_update_contact_info_in_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub
